date,value
Apr-1980,347917.0
Mar-1980,321520.0
Feb-1980,304616.0
Jan-1980,331238.0
Dec-1979,276841.0
Nov-1979,283723.0
Oct-1979,356311.0
Sep-1979,298215.0
Aug-1979,366235.0
Jul-1979,344163.0
Jun-1979,334845.0
May-1979,360006.0
Apr-1979,315707.0
Mar-1979,321418.0
Feb-1979,268597.0
Jan-1979,317262.0
Dec-1978,269579.0
Nov-1978,274510.0
Oct-1978,309829.0
Sep-1978,293385.0
Aug-1978,335466.0
Jul-1978,293108.0
Jun-1978,317624.0
May-1978,319935.0
Apr-1978,271626.0
Mar-1978,297334.0
Feb-1978,257465.0
Jan-1978,276549.0
Dec-1977,266227.0
Nov-1977,258619.0
Oct-1977,273439.0
Sep-1977,288538.0
Aug-1977,318553.0
Jul-1977,277317.0
Jun-1977,308558.0
May-1977,292004.0
Apr-1977,268582.0
Mar-1977,284924.0
Feb-1977,241531.0
Jan-1977,255836.0
Dec-1976,255941.0
Nov-1976,250371.0
Oct-1976,274062.0
Sep-1976,286929.0
Aug-1976,294594.0
Jul-1976,283237.0
Jun-1976,301897.0
May-1976,270444.0
Apr-1976,270576.0
Mar-1976,278484.0
Feb-1976,229959.0
Jan-1976,256278.0
Dec-1975,248100.0
Nov-1975,204095.0
Oct-1975,269022.0
Sep-1975,252611.0
Aug-1975,254662.0
Jul-1975,266582.0
Jun-1975,252779.0
May-1975,253570.0
Apr-1975,249141.0
Mar-1975,225287.0
Feb-1975,209653.0
Jan-1975,236277.0
Dec-1974,212266.0
Nov-1974,191208.0
Oct-1974,247374.0
Sep-1974,224750.0
Aug-1974,264213.0
Jul-1974,266698.0
Jun-1974,251593.0
May-1974,272328.0
Apr-1974,246076.0
Mar-1974,239836.0
Feb-1974,223653.0
Jan-1974,260431.0
Dec-1973,214300.0
Nov-1973,233144.0
Oct-1973,267767.0
Sep-1973,224356.0
Aug-1973,264676.0
Jul-1973,256696.0
Jun-1973,256713.0
May-1973,265277.0
Apr-1973,224840.0
Mar-1973,235691.0
Feb-1973,215842.0
Jan-1973,248255.0
Dec-1972,217210.0
Nov-1972,228503.0
Oct-1972,254816.0
Sep-1972,238875.0
Aug-1972,278819.0
Jul-1972,240117.0
Jun-1972,268545.0
May-1972,267762.0
Apr-1972,234330.0
Mar-1972,249180.0
Feb-1972,226785.0
Jan-1972,231207.0
Dec-1971,223249.0
Nov-1971,213763.0
Oct-1971,234308.0
Sep-1971,239038.0
Aug-1971,257296.0
Jul-1971,241222.0
Jun-1971,252451.0
May-1971,227630.0
Apr-1971,230347.0
Mar-1971,238437.0
Feb-1971,205647.0
Jan-1971,215584.0
Dec-1970,212302.0
Nov-1970,194231.0
Oct-1970,237617.0
Sep-1970,237078.0
Aug-1970,240721.0
Jul-1970,258551.0
Jun-1970,259718.0
May-1970,235119.0
Apr-1970,243508.0
Mar-1970,224624.0
Feb-1970,204944.0
Jan-1970,221765.0
Dec-1969,210012.0
Nov-1969,176349.0
Oct-1969,232472.0
Sep-1969,218945.0
Aug-1969,224603.0
Jul-1969,226408.0
Jun-1969,225345.0
May-1969,220210.0
Apr-1969,208555.0
Mar-1969,190002.0
Feb-1969,175087.0
Jan-1969,208298.0
Dec-1968,178443.0
Nov-1968,165337.0
Oct-1968,218958.0
Sep-1968,194136.0
Aug-1968,219662.0
Jul-1968,220169.0
Jun-1968,197186.0
May-1968,208927.0
Apr-1968,190954.0
Mar-1968,179625.0
Feb-1968,172697.0
Jan-1968,189879.0
Dec-1967,167185.0
Nov-1967,172456.0
Oct-1967,202922.0
Sep-1967,195879.0
Aug-1967,227392.0
Jul-1967,193664.0
Jun-1967,218785.0
May-1967,217440.0
Apr-1967,182015.0
Mar-1967,190907.0
Feb-1967,162214.0
Jan-1967,188531.0
Dec-1966,185428.0
Nov-1966,171303.0
Oct-1966,192513.0
Sep-1966,200676.0
Aug-1966,217788.0
Jul-1966,191233.0
Jun-1966,207644.0
May-1966,188974.0
Apr-1966,180143.0
Mar-1966,178137.0
Feb-1966,160660.0
Jan-1966,161390.0
Dec-1965,164758.0
Nov-1965,153862.0
Oct-1965,176437.0
Sep-1965,184638.0
Aug-1965,195600.0
Jul-1965,190056.0
Jun-1965,192552.0
May-1965,173029.0
Apr-1965,167143.0
Mar-1965,163405.0
Feb-1965,140759.0
Jan-1965,155400.0
Dec-1964,145654.0
Nov-1964,133075.0
Oct-1964,160526.0
Sep-1964,167561.0
Aug-1964,175517.0
Jul-1964,177577.0
Jun-1964,182648.0
May-1964,166997.0
Apr-1964,160745.0
Mar-1964,149234.0
Feb-1964,139458.0
Jan-1964,156045.0
Dec-1963,143757.0
Nov-1963,126169.0
Oct-1963,159093.0
Sep-1963,154200.0
Aug-1963,176244.0
Jul-1963,181082.0
Jun-1963,167536.0
May-1963,166340.0
Apr-1963,149383.0
Mar-1963,137967.0
Feb-1963,122611.0
Jan-1963,150583.0
Dec-1962,128739.0
Nov-1962,133456.0
Oct-1962,161116.0
Sep-1962,138840.0
Aug-1962,171561.0
Jul-1962,164542.0
Jun-1962,171849.0
May-1962,175403.0
Apr-1962,144776.0
Mar-1962,136857.0
Feb-1962,112483.0
Jan-1962,123388.0
Dec-1961,108725.0
Nov-1961,119662.0
Oct-1961,150470.0
Sep-1961,150429.0
Aug-1961,173741.0
Jul-1961,167482.0
Jun-1961,180656.0
May-1961,170894.0
Apr-1961,143196.0
Mar-1961,135688.0
Feb-1961,105353.0
Jan-1961,119728.0
Dec-1960,111863.0
Nov-1960,113874.0
Oct-1960,130194.0
Sep-1960,140882.0
Aug-1960,162137.0
Jul-1960,138054.0
Jun-1960,142820.0
May-1960,137061.0
Apr-1960,125406.0
Mar-1960,120742.0
Feb-1960,105526.0
Jan-1960,105001.0
